marca,modelo,anio,cilindrada_cc,potencia_cv,peso_kg,traccion,combustible,tiempo_0_100,precio_eur,consumo_l100km,categoria
Ferrari,488 GTB,2019,3902,670,1475,RWD,Gasolina,3.0,265000,13.5,Superdeportivo
Ferrari,Roma,2021,3855,620,1472,RWD,Gasolina,3.4,222000,12.0,Superdeportivo
Ferrari,SF90 Stradale,2021,3990,1000,1570,AWD,Hibrido,2.5,520000,8.9,Superdeportivo
Ferrari,Purosangue,2023,6496,725,2033,AWD,Gasolina,3.3,400000,NA,SUV
Ferrari,296 GTB,2022,2992,9999,1470,RWD,Hibrido,2.9,320000,7.8,Superdeportivo
Lamborghini,Huracán EVO,2020,5204,640,1422,AWD,Gasolina,2.9,220000,14.0,Superdeportivo
Lamborghini,Aventador SVJ,2019,6498,770,1525,AWD,Gasolina,2.8,380000,15.5,Superdeportivo
Lamborghini,Urus S,2023,3996,666,2197,AWD,Gasolina,3.5,268000,13.1,SUV
Lamborghini,Sterrato,2023,5204,610,1585,AWD,Gasolina,3.4,NA,14.0,Deportivo
McLaren,720S,2019,3994,720,1283,RWD,Gasolina,2.9,280000,12.8,Superdeportivo
McLaren,Artura,2022,2993,680,1395,RWD,Hibrido,3.0,235000,8.9,Superdeportivo
McLaren,GT,2020,3994,620,1466,RWD,Gasolina,3.2,215000,11.5,Gran Turismo
Porsche,911 GT3,2022,3996,510,1435,RWD,Gasolina,3.4,178000,13.0,Superdeportivo
Porsche,Cayman GT4,2021,3996,420,1420,RWD,Gasolina,4.4,105000,11.0,Deportivo
Porsche,Cayenne Turbo GT,2022,3996,640,2165,AWD,Gasolina,3.3,188000,13.5,SUV
Porsche,Taycan Turbo S,2022,NA,761,2305,AWD,Electrico,2.8,189000,NA,Superdeportivo
Porsche,Panamera Turbo S E-Hybrid,2021,3996,680,2245,AWD,Hibrido,3.1,195000,8.2,Gran Turismo
BMW,M3 Competition,2021,2993,510,1730,AWD,Gasolina,3.9,98000,10.3,Deportivo
BMW,M4 Competition,2022,2993,510,1725,AWD,Gasolina,3.9,102000,10.5,Deportivo
BMW,M5 CS,2022,4395,635,1815,AWD,Gasolina,3.0,142000,11.1,Gran Turismo
BMW,X5 M Competition,2021,4395,625,2350,AWD,Gasolina,3.8,148000,12.2,SUV
BMW,iX M60,2022,NA,619,2510,AWD,Electrico,3.8,133000,NA,SUV
Mercedes-AMG,GT Black Series,2021,3982,730,1630,RWD,Gasolina,3.2,355000,13.7,Superdeportivo
Mercedes-AMG,C63 S E Performance,2023,1991,680,1975,AWD,Hibrido,3.4,116000,8.7,Deportivo
Mercedes-AMG,GLE 63 S,2021,3982,612,2235,AWD,Hibrido,3.8,152000,11.8,SUV
Mercedes-AMG,A45 S,2021,1991,421,1620,AWD,Gasolina,3.9,62000,8.6,Deportivo
Audi,RS3 Sportback,2022,2480,400,1560,AWD,Gasolina,3.8,68000,9.8,Deportivo
Audi,RS6 Avant,2021,3996,600,2075,AWD,Hibrido,3.6,135000,10.4,Gran Turismo
Audi,RS Q8,2021,3996,600,2215,AWD,Hibrido,3.8,155000,11.4,SUV
Audi,R8 V10 Performance,2022,5204,620,1595,AWD,Gasolina,3.1,198000,14.1,Superdeportivo
Audi,e-tron GT RS,2022,NA,646,2347,AWD,Electrico,3.3,148000,NA,Gran Turismo
