vuelta_id,estilo_piloto,circuito,velocidad_max_kmh,velocidad_media_kmh,frenadas_fuertes,g_lateral_max,tiempo_vuelta_s,desgaste_neumatico_pct,combustible_consumido_l
1,Agresivo,Suzuka,300.6,181.3,21,4.02,93.89,37.5,4.87
2,Agresivo,Monza,324.5,162.8,19,4.02,92.04,28.4,4.04
3,Agresivo,Suzuka,330.1,172.9,25,4.39,94.48,28.1,4.77
4,Agresivo,Suzuka,316.1,169.2,21,4.76,90.69,29.3,3.92
5,Agresivo,Interlagos,312.2,168.9,18,4.53,92.29,41.6,4.25
6,Agresivo,Barcelona,309.7,178.3,23,4.38,93.64,28.6,4.07
7,Agresivo,Silverstone,344.3,184.2,19,4.18,91.63,39.7,4.0
8,Agresivo,Silverstone,305.5,168.9,28,4.45,92.87,30.4,4.67
9,Agresivo,Spa,318.1,169.0,28,4.49,89.76,32.5,4.72
10,Agresivo,Monza,306.5,162.8,23,4.2,88.53,40.8,4.48
11,Agresivo,Suzuka,310.7,179.0,24,4.68,93.14,30.0,3.97
12,Agresivo,Suzuka,323.1,168.8,27,4.23,92.67,33.1,5.0
13,Agresivo,Spa,320.5,164.4,18,4.66,89.22,30.2,4.62
14,Agresivo,Barcelona,298.2,171.9,25,4.33,95.77,40.1,3.81
15,Agresivo,Suzuka,300.7,185.0,22,4.57,90.72,32.1,3.99
16,Agresivo,Monza,342.7,184.8,22,4.77,94.1,35.1,3.93
17,Agresivo,Suzuka,309.9,178.6,27,4.0,90.99,30.3,4.94
18,Agresivo,Barcelona,340.9,177.6,25,3.82,95.43,40.3,4.8
19,Agresivo,Silverstone,307.0,168.3,27,4.75,88.69,34.8,3.88
20,Agresivo,Interlagos,321.6,165.3,28,4.28,92.4,31.7,4.85
21,Agresivo,Monaco,343.2,186.2,21,4.51,91.19,37.4,4.25
22,Agresivo,Barcelona,317.6,168.4,19,4.14,92.71,31.2,4.06
23,Agresivo,Monza,330.4,163.5,19,4.71,94.88,29.0,4.09
24,Agresivo,Suzuka,319.3,176.0,27,4.38,89.94,34.6,4.29
25,Agresivo,Monza,299.8,173.2,24,4.21,94.91,28.8,4.58
26,Agresivo,Suzuka,299.9,172.5,23,4.6,88.87,30.7,4.44
27,Agresivo,Spa,316.1,169.2,21,4.67,88.6,39.3,4.83
28,Agresivo,Monza,297.5,188.0,18,4.77,95.41,39.9,4.0
29,Agresivo,Monaco,319.1,184.5,18,3.96,88.02,33.5,4.91
30,Agresivo,Interlagos,317.8,173.0,26,4.46,91.89,30.7,4.06
31,Agresivo,Monza,324.0,176.1,23,3.86,92.67,35.0,4.82
32,Agresivo,Spa,297.8,175.2,20,3.87,88.54,40.1,4.28
33,Agresivo,Barcelona,307.3,177.5,27,3.88,93.26,35.9,4.18
34,Agresivo,Silverstone,305.2,180.6,21,4.07,89.05,37.0,4.35
35,Agresivo,Interlagos,341.8,162.2,27,4.8,95.97,29.0,4.06
36,Agresivo,Silverstone,301.6,171.1,19,4.68,90.96,30.2,4.8
37,Agresivo,Suzuka,310.1,187.6,28,4.33,93.34,35.8,4.92
38,Agresivo,Monza,341.9,165.5,19,4.69,93.94,30.2,4.14
39,Agresivo,Spa,330.9,167.3,28,4.65,92.04,31.5,4.89
40,Agresivo,Monza,299.6,173.0,22,3.84,90.67,29.8,4.98
41,Agresivo,Spa,332.1,176.3,24,4.36,88.89,41.2,4.63
42,Agresivo,Spa,322.3,183.7,27,4.35,91.44,28.6,4.24
43,Agresivo,Interlagos,343.6,163.0,23,4.01,90.0,29.4,4.74
44,Agresivo,Interlagos,315.3,178.1,20,4.73,89.89,30.3,4.76
45,Agresivo,Spa,339.1,162.6,23,4.58,91.29,37.4,4.68
46,Agresivo,Spa,308.3,182.5,19,4.18,88.31,34.6,4.04
47,Agresivo,Monaco,312.5,183.3,21,4.02,93.28,33.6,4.13
48,Agresivo,Monza,343.3,169.3,28,4.31,93.44,39.8,4.2
49,Agresivo,Monza,300.8,187.2,20,4.38,95.87,28.5,4.52
50,Agresivo,Silverstone,331.4,170.2,27,4.78,88.93,40.6,4.03
51,Equilibrado,Monza,299.2,145.0,18,3.43,98.76,24.7,3.54
52,Equilibrado,Silverstone,287.0,164.0,14,3.5,98.31,19.1,3.72
53,Equilibrado,Barcelona,281.6,153.2,15,3.56,97.44,19.7,3.53
54,Equilibrado,Monaco,297.8,163.1,16,3.46,96.25,25.5,3.24
55,Equilibrado,Spa,286.9,156.6,17,3.26,96.53,24.1,3.41
56,Equilibrado,Interlagos,307.7,160.9,13,3.53,95.27,24.0,3.5
57,Equilibrado,Monza,304.0,160.0,17,3.25,99.45,19.3,3.04
58,Equilibrado,Monaco,294.9,160.4,15,3.33,98.04,19.7,3.56
59,Equilibrado,Monaco,285.6,148.0,17,3.0,99.01,24.9,3.09
60,Equilibrado,Monaco,277.6,161.1,17,3.41,93.4,20.2,3.68
61,Equilibrado,Monaco,273.9,154.3,16,3.79,97.76,26.6,3.71
62,Equilibrado,Barcelona,303.9,162.8,15,3.66,97.38,26.1,3.59
63,Equilibrado,Monaco,287.8,160.0,18,3.51,99.13,22.7,3.5
64,Equilibrado,Silverstone,287.4,159.3,13,3.22,95.56,22.9,3.11
65,Equilibrado,Spa,284.9,148.1,13,3.05,96.26,22.9,3.33
66,Equilibrado,Spa,304.6,152.8,18,3.47,98.56,25.7,3.61
67,Equilibrado,Monaco,289.0,163.9,14,3.6,99.83,26.6,3.34
68,Equilibrado,Suzuka,300.3,161.0,13,3.39,95.18,22.4,3.31
69,Equilibrado,Suzuka,297.9,153.1,13,3.67,100.36,26.8,3.43
70,Equilibrado,Monaco,294.0,158.3,12,3.51,94.09,22.2,3.04
71,Equilibrado,Monaco,282.4,154.1,14,3.61,96.03,24.8,3.67
72,Equilibrado,Silverstone,304.7,154.4,17,3.43,101.0,21.1,3.52
73,Equilibrado,Interlagos,310.1,145.8,12,3.76,94.59,18.2,3.12
74,Equilibrado,Spa,288.8,147.3,13,3.37,95.05,21.3,3.48
75,Equilibrado,Suzuka,299.6,160.6,13,3.77,93.86,18.2,3.25
76,Equilibrado,Suzuka,308.0,152.5,17,3.16,97.74,25.5,3.19
